# alias PD xsec nmc sumw
DYJets_M-1000to1500	DYJetsToLL_M-1000to1500_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.01636	492743.000000	303721.00000
DYJets_M-1500to2000	DYJetsToLL_M-1500to2000_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.00218	541461.000000	330117.000000
DYJets_M-2000to3000	DYJetsToLL_M-2000to3000_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.0005156	489512.000000	283106.000000
DYJets_M-200to400	DYJetsToLL_M-200to400_TuneCP5_13TeV-amcatnloFXFX-pythia8	7.77	2587941.000000	1672775.000000
DYJets_M-3000toInf	DYJetsToLL_M-3000toInf_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.00001	496959.000000	185641.000000
DYJets_M-400to500	DYJetsToLL_M-400to500_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.4065	487372.000000	307326.000000
DYJets_M-500to700	DYJetsToLL_M-500to700_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.2334	481980.000000	300080.000000
DYJets_M-700to800	DYJetsToLL_M-700to800_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.03614	446493.000000	275883.000000
DYJets_M-800to1000	DYJetsToLL_M-800to1000_TuneCP5_13TeV-amcatnloFXFX-pythia8	0.03047	504407.000000	310237.000000
DYJets_MG	DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	6077.22	100194597	100114403
DYJets_MG_HT-100to200	DYJetsToLL_M-50_HT-100to200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	181.30	11530510	11518130
DYJets_MG_HT-1200to2500	DYJetsToLL_M-50_HT-1200to2500_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	0.186222	536416	531762
DYJets_MG_HT-200to400	DYJetsToLL_M-50_HT-200to400_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	50.4177	11225887	11206441
DYJets_MG_HT-2500toInf	DYJetsToLL_M-50_HT-2500toInf_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	0.00438495	427051	415713
DYJets_MG_HT-400to600	DYJetsToLL_M-50_HT-400to600_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	6.98394	46257739	46133369
DYJets_MG_HT-600to800	DYJetsToLL_M-50_HT-600to800_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	1.68141	8862104	8828622
DYJets_MG_HT-70to100	DYJetsToLL_M-50_HT-70to100_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	208.977	10019684	10011340
DYJets_MG_HT-800to1200	DYJetsToLL_M-50_HT-800to1200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8	0.775392	3138129	3121975
QCD_Pt-1000toInf_MuEnrichedPt5	QCD_Pt-1000toInf_MuEnrichedPt5_TuneCP5_13TeV_pythia8	1.62131692	10719790	10719790
QCD_Pt-120to170_EMEnriched	QCD_Pt-120to170_EMEnriched_TuneCP5_13TeV_pythia8	62964.	9964143	9964143
QCD_Pt-120to170_MuEnrichedPt5	QCD_Pt-120to170_MuEnrichedPt5_TuneCP5_13TeV_pythia8	25190.51514	21315922	21315922
QCD_Pt-15to20_EMEnriched	QCD_Pt-15to20_EMEnriched_TuneCP5_13TeV_pythia8	2302200.	14578212	14578212
QCD_Pt-15to20_MuEnrichedPt5	QCD_Pt-15to20_MuEnrichedPt5_TuneCP5_13TeV_pythia8	3819570.	4576065	4576065
QCD_Pt-170to300_EMEnriched	QCD_Pt-170to300_EMEnriched_TuneCP5_13TeV_pythia8	18810.	3712174	3712174
QCD_Pt-170to300_MuEnrichedPt5	QCD_Pt-170to300_MuEnrichedPt5_TuneCP5_13TeV_pythia8	8654.49315	35978539	35978539
QCD_Pt-20to30_EMEnriched	QCD_Pt-20to30_EMEnriched_TuneCP5_13TeV_pythia8	5352960.	14255377	14255377
QCD_Pt-20to30_MuEnrichedPt5	QCD_Pt-20to30_MuEnrichedPt5_TuneCP5_13TeV_pythia8	2960198.4	30612338	30612338
QCD_Pt-300to470_MuEnrichedPt5	QCD_Pt-300to470_MuEnrichedPt5_TuneCP5_13TeV_pythia8	797.35269	29488563	29488563
QCD_Pt-300toInf_EMEnriched	QCD_Pt-300toInf_EMEnriched_TuneCP5_13TeV_pythia8	1350.	2901355	2901355
QCD_Pt-30to50_EMEnriched	QCD_Pt-30to50_EMEnriched_TuneCP5_13TeV_pythia8	9928000.	15086084	15086084
QCD_Pt-30to50_MuEnrichedPt5	QCD_Pt-30to50_MuEnrichedPt5_TuneCP5_13TeV_pythia8	1652471.46	29884616	29884616
QCD_Pt-470to600_MuEnrichedPt5	QCD_Pt-470to600_MuEnrichedPt5_TuneCP5_13TeV_pythia8	79.02553776	20495750	20495750
QCD_Pt-50to80_EMEnriched	QCD_Pt-50to80_EMEnriched_TuneCP5_13TeV_pythia8	2890800.	10798233	10798233
QCD_Pt-50to80_MuEnrichedPt5	QCD_Pt-50to80_MuEnrichedPt5_TuneCP5_13TeV_pythia8	437504.1	20268872	20268872
QCD_Pt-600to800_MuEnrichedPt5	QCD_Pt-600to800_MuEnrichedPt5_TuneCP5_13TeV_pythia8	25.09505908	16618977	16618977
QCD_Pt-800to1000_MuEnrichedPt5	QCD_Pt-800to1000_MuEnrichedPt5_TuneCP5_13TeV_pythia8	4.707368272	16749914	16749914
QCD_Pt-80to120_EMEnriched	QCD_Pt-80to120_EMEnriched_TuneCP5_13TeV_pythia8	350000.	9648791	9648791
QCD_Pt-80to120_MuEnrichedPt5	QCD_Pt-80to120_MuEnrichedPt5_TuneCP5_13TeV_pythia8	106033.6648	25652280	25652280
QCD_Pt_15to20_bcToE	QCD_Pt_15to20_bcToE_TuneCP5_13TeV_pythia8	254596.	4316068	4316068
QCD_Pt_170to250_bcToE	QCD_Pt_170to250_bcToE_TuneCP5_13TeV_pythia8	2635.81332	9654492	9654492
QCD_Pt_20to30_bcToE	QCD_Pt_20to30_bcToE_TuneCP5_13TeV_pythia8	328999.93	10561226	10561226
QCD_Pt_250toInf_bcToE	QCD_Pt_250toInf_bcToE_TuneCP5_13TeV_pythia8	711.925875	10191317	10191317
QCD_Pt_30to80_bcToE	QCD_Pt_30to80_bcToE_TuneCP5_13TeV_pythia8	405623.4	15177630	15177630
QCD_Pt_80to170_bcToE	QCD_Pt_80to170_bcToE_TuneCP5_13TeV_pythia8	38104.43	14934946	14934946
SingleTop_sch_Lep	ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-madgraph-pythia8	3.36	39917000	24906122
SingleTop_tW_antitop_NoFullyHad	ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.20	6909815	6878049
SingleTop_tW_top_NoFullyHad	ST_tW_top_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.20	8722734	8683040
SingleTop_tch_antitop_Incl	ST_t-channel_antitop_5f_TuneCP5_13TeV-powheg-pythia8	80.95	3838836	3817576
SingleTop_tch_top_Incl	ST_t-channel_top_5f_TuneCP5_13TeV-powheg-pythia8	136.02	5903676	5869872
TG	TGJets_TuneCP5_13TeV_amcatnlo_madspin_pythia8	2.967	1109000	213354
TTG	TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8	3.795	4691915	1842387
TTLJ_powheg	TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8	365.34	301475998	299042028
TTLL_powheg	TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8	88.29	64310000	63791484
VBF_HToZZTo4L	VBF_HToZZTo4L_M125_13TeV_powheg2_JHUGenV7011_pythia8	0.001034	500000	499348
VHToNonbb	VHToNonbb_M125_13TeV_amcatnloFXFX_madspin_pythia8	0.9561	1102578	543616
WGToLNuG_01J	WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8	1.	27933663	16780663
WJets_MG	WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8	61530	71026861	70966439
WJets_MG_HT-100To200	WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8	1627.45	29521158	29488310
WJets_MG_HT-1200To2500	WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8	1.60809	7633949	7571583
WJets_MG_HT-200To400	WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8	435.237	25468933	25423155
WJets_MG_HT-2500ToInf	WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8	0.0389136	3273980	3191612
WJets_MG_HT-400To600	WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8	59.1811	5932701	5915969
WJets_MG_HT-600To800	WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8	14.5805	19771294	19699782
WJets_MG_HT-70To100	WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8	1637.1	28084244	28060302
WJets_MG_HT-800To1200	WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8	6.65621	8402687	8362227
WWTo2L2Nu_DS	WWTo2L2Nu_DoubleScattering_13TeV-pythia8	0.1703	871500	871500
WWTo2L2Nu_powheg	WWTo2L2Nu_NNPDF31_TuneCP5_13TeV-powheg-pythia8	12.178	7758900	7729266
WWToLNuQQ_powheg	WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8	49.997	19199100	19127022
WWW	WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8	0.2086	240000	210100
WWZ	WWZ_TuneCP5_13TeV-amcatnlo-pythia8	0.1651	250000	219910
WW_DoubleScattering	WWTo2L2Nu_DoubleScattering_13TeV-pythia8	1.	10000	10000
WW_pythia	WW_TuneCP5_PSweights_13TeV-pythia8	118.7	7958000	7958000
WZTo1L1Nu2Q_amcatnlo	WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8	10.73	18901469	11248663
WZTo1L3Nu_amcatnlo	WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8	3.054	1690064	920352
WZTo2L2Q_amcatnlo	WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	5.606	28193648	17048434
WZTo3LNu_powheg	WZTo3LNu_TuneCP5_13TeV-powheg-pythia8	4.42965	1976600	1955248
WZZ	WZZ_TuneCP5_13TeV-amcatnlo-pythia8	0.05565	250000	219250
WZ_pythia	WZ_TuneCP5_PSweights_13TeV-pythia8	47.13	3893000	3893000
WpWp_EWK	WpWpJJ_EWK_TuneCP5_13TeV-madgraph-pythia8	0.02695	149400	148606
WpWp_QCD	WpWpJJ_QCD_TuneCP5_13TeV-madgraph-pythia8	0.02612	150000	149500
ZGToLLG_01J	ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8	1.	13946364	8816038
ZZTo2L2Nu_powheg	ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8	0.5644	56428600	56356048
ZZTo2L2Q_amcatnlo	ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	3.222	27900469	17815223
ZZTo4L_powheg	ZZTo4L_TuneCP5_13TeV_powheg_pythia8	1.256	105698900	104627766
ZZZ	ZZZ_TuneCP5_13TeV-amcatnlo-pythia8	0.01398	250000	214282
ZZ_pythia	ZZ_TuneCP5_13TeV-pythia8	16.523	1979000	1979000
ggHToZZTo4L	GluGluHToZZTo4L_M125_13TeV_powheg2_JHUGenV7011_pythia8	0.01212	958000	948128
ggZZTo2e2mu	GluGluToContinToZZTo2e2mu_13TeV_TuneCP5_MCFM701_pythia8	0.005423	500000	500000
ggZZTo2e2tau	GluGluToContinToZZTo2e2tau_13TeV_TuneCP5_MCFM701_pythia8	0.005423	500000	500000
ggZZTo2mu2tau	GluGluToContinToZZTo2mu2tau_13TeV_TuneCP5_MCFM701_pythia8	0.005423	496000	496000
ggZZTo4e	GluGluToContinToZZTo4e_13TeV_TuneCP5_MCFM701_pythia8	0.002703	914500	914500
ggZZTo4mu	GluGluToContinToZZTo4mu_13TeV_TuneCP5_MCFM701_pythia8	0.002703	948800	948800
ggZZTo4tau	GluGluToContinToZZTo4tau_13TeV_TuneCP5_MCFM701_pythia8	0.002703	468700	468700
ttHToNonbb	ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8	0.2151	7525991	7368333
ttW	ttWJets_TuneCP5_13TeV_madgraphMLM_pythia8	0.4611	12816567	12771749
ttWToLNu	TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8	0.2043	4911941	2686095
ttWToQQ	TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8	0.4062	835296	458226
ttZ	ttZJets_TuneCP5_13TeV_madgraphMLM_pythia8	0.5407	22646257	22604395
ttZToLLNuNu	TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8	0.2529	13280000	6274046
ttZToQQ	TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8	0.5297	9641000	4576760
