# alias PD xsec nmc sumw
WWZ	WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8	0.1651	250000	219964
WW_pythia	WW_TuneCP5_13TeV-pythia8	118.7	7765828	7765828
WZTo1L1Nu2Q_amcatnlo	WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8	10.73	19086373	11347099
WZTo1L3Nu_amcatnlo	WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8_v2	3.054	4994395	2717911
WZTo2L2Q_amcatnlo	WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	5.606	27582164	16664610
WZTo3LNu_powheg	WZTo3LNu_13TeV-powheg-pythia8	4.42965	976400	965938
WZZ	WZZ_TuneCP5_13TeV-amcatnlo-pythia8	0.05565	250000	219660
WZ_pythia	WZ_TuneCP5_13TeV-pythia8	47.13	3928630	3928630
WpWp_EWK	WpWpJJ_EWK_TuneCP5_13TeV-madgraph-pythia8	0.02695	145800	144938
WpWp_QCD	WpWpJJ_QCD_TuneCP5_13TeV-madgraph-pythia8	0.02612	150000	149484
ZGToLLG_01J	ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8	117.864	30490034	19282022
ZZTo2L2Nu_powheg	ZZTo2L2Nu_13TeV_powheg_pythia8	0.5644	8744768	8733658
ZZTo2L2Q_amcatnlo	ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	3.222	27840918	17768294
ZZTo4L_powheg	ZZTo4L_13TeV_powheg_pythia8	1.256	6964071	6893887
ZZZ	ZZZ_TuneCP5_13TeV-amcatnlo-pythia8	0.01398	250000	214318
ZZ_pythia	ZZ_TuneCP5_13TeV-pythia8	16.523	1925931	1925931
ggHToZZTo4L	GluGluHToZZTo4L_M125_13TeV_powheg2_JHUGenV7011_pythia8	0.01212	1976312	1966074
ggZZTo2e2mu	GluGluToContinToZZTo2e2mu_13TeV_TuneCP5_MCFM701_pythia8	0.005423	500000	500000
ggZZTo2e2tau	GluGluToContinToZZTo2e2tau_13TeV_TuneCP5_MCFM701_pythia8	0.005423	500000	500000
ggZZTo2mu2tau	GluGluToContinToZZTo2mu2tau_13TeV_TuneCP5_MCFM701_pythia8	0.005423	500000	500000
ggZZTo4e	GluGluToContinToZZTo4e_13TeV_TuneCP5_MCFM701_pythia8	0.002703	985300	985300
ggZZTo4mu	GluGluToContinToZZTo4mu_13TeV_TuneCP5_MCFM701_pythia8	0.002703	980164	980164
ggZZTo4tau	GluGluToContinToZZTo4tau_13TeV_TuneCP5_MCFM701_pythia8	0.002703	500000	500000
ttHToNonbb	ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8	0.2151	7966779	7814711
ttW	ttWJets_TuneCP5_13TeV_madgraphMLM_pythia8	0.4611	9425384	9384328
ttWToLNu	TTWJetsToLNu_TuneCP5_PSweights_13TeV-amcatnloFXFX-madspin-pythia8	0.2043	4908905	2686141
ttWToQQ	TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8	0.4062	811306	441560
ttZ	ttZJets_TuneCP5_13TeV_madgraphMLM_pythia8	0.5407	8536618	8519074
ttZToLLNuNu	TTZToLLNuNu_M-10_TuneCP5_PSweights_13TeV-amcatnlo-pythia8	0.2529	11092000	5239484
ttZToQQ	TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8	0.5297	750000	356286
