# alias PD xsec nmc sumw
DYJets_MG_HT-400to600	DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	6.98394	9725661	9725661
DYJets_MG_HT-600to800	DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1.68141	8292957	8292957
DYJets_MG_HT-70to100	DYJetsToLL_M-50_HT-70to100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	208.977	9691660	9691660
DYJets_MG_HT-800to1200	DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	0.775392	2673066	2673066
QCD_Pt-1000toInf_MuEnrichedPt5	QCD_Pt-1000toInf_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	1.62131692	13628217	13628217
QCD_Pt-120to170_EMEnriched	QCD_Pt-120to170_EMEnriched_TuneCUETP8M1_13TeV_pythia8	62964.	78578415	78578415
QCD_Pt-120to170_MuEnrichedPt5	QCD_Pt-120to170_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	25190.51514	19809962	19809962
QCD_Pt-15to20_MuEnrichedPt5	QCD_Pt-15to20_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	3819570.	4141251	4141251
QCD_Pt-170to300_EMEnriched	QCD_Pt-170to300_EMEnriched_TuneCUETP8M1_13TeV_pythia8	18810.	11540163	11540163
QCD_Pt-170to300_MuEnrichedPt5	QCD_Pt-170to300_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	8654.49315	37139904	37139904
QCD_Pt-20to30_EMEnriched	QCD_Pt-20to30_EMEnriched_TuneCUETP8M1_13TeV_pythia8	5352960.	9241500	9241500
QCD_Pt-20to30_MuEnrichedPt5	QCD_Pt-20to30_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	2960198.4	31878740	31878740
QCD_Pt-300to470_MuEnrichedPt5	QCD_Pt-300to470_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	797.35269	49005976	49005976
QCD_Pt-300toInf_EMEnriched	QCD_Pt-300toInf_EMEnriched_TuneCUETP8M1_13TeV_pythia8	1350.	7380341	7380341
QCD_Pt-30to50_EMEnriched	QCD_Pt-30to50_EMEnriched_TuneCUETP8M1_13TeV_pythia8	9928000.	11508842	11508842
QCD_Pt-30to50_MuEnrichedPt5	QCD_Pt-30to50_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	1652471.46	29954813	29954813
QCD_Pt-470to600_MuEnrichedPt5	QCD_Pt-470to600_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	79.02553776	19489276	19489276
QCD_Pt-50to80_EMEnriched	QCD_Pt-50to80_EMEnriched_TuneCUETP8M1_13TeV_pythia8	2890800.	45789059	45789059
QCD_Pt-50to80_MuEnrichedPt5	QCD_Pt-50to80_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	437504.1	19662175	19662175
QCD_Pt-600to800_MuEnrichedPt5	QCD_Pt-600to800_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	25.09505908	19909529	19909529
QCD_Pt-800to1000_MuEnrichedPt5	QCD_Pt-800to1000_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	4.707368272	19940747	19940747
QCD_Pt-80to120_EMEnriched	QCD_Pt-80to120_EMEnriched_TuneCUETP8M1_13TeV_pythia8	350000.	77800204	77800204
QCD_Pt-80to120_MuEnrichedPt5	QCD_Pt-80to120_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8	106033.6648	23705385	23705385
QCD_Pt_15to20_bcToE	QCD_Pt_15to20_bcToE_TuneCUETP8M1_13TeV_pythia8	254596.	2685602	2685602
QCD_Pt_170to250_bcToE	QCD_Pt_170to250_bcToE_TuneCUETP8M1_13TeV_pythia8	2635.81332	9862070	9862070
QCD_Pt_20to30_bcToE	QCD_Pt_20to30_bcToE_TuneCUETP8M1_13TeV_pythia8	328999.93	10987947	10987947
QCD_Pt_250toInf_bcToE	QCD_Pt_250toInf_bcToE_TuneCUETP8M1_13TeV_pythia8	711.925875	9861593	9861593
QCD_Pt_30to80_bcToE	QCD_Pt_30to80_bcToE_TuneCUETP8M1_13TeV_pythia8	405623.4	15342783	15342783
QCD_Pt_80to170_bcToE	QCD_Pt_80to170_bcToE_TuneCUETP8M1_13TeV_pythia8	38104.43	14851987	14851987
SingleTop_sch_Lep	ST_s-channel_4f_leptonDecays_13TeV_PSweights-amcatnlo-pythia8	3.36	9971200	6208292
SingleTop_tW_antitop_NoFullyHad	ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1	19.20	8681541	8681541
SingleTop_tW_top_NoFullyHad	ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1	19.20	8681495	8681495
SingleTop_tch_antitop_Incl	ST_t-channel_antitop_4f_inclusiveDecays_13TeV_PSweights-powhegV2-madspin	80.95	39675800	39675800
SingleTop_tch_top_Incl	ST_t-channel_top_4f_inclusiveDecays_13TeV_PSweights-powhegV2-madspin	136.02	68001000	68001000
TG	TGJets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8	2.967	1849504	368562
TTG	TTGJets_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8	3.795	14748853	4774447
TTJJ_powheg	TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8	380.10	67969400	67419006
TTLJ_powheg	TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8	365.34	152669800	152669800
TTLL_powheg	TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8	88.29	79140880	79140880
VBF_HToZZTo4L	VBF_HToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8	0.001034	500000	499312
VHToNonbb	VHToNonbb_M125_13TeV_amcatnloFXFX_madspin_pythia8	0.9561	1007898	461452
WGToLNuG	WGToLNuG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	489	27511845	17643995
WJets_MG	WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	61526.7	86916455	86916455
WJets_MG_HT-100To200	WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1627.45	78043017	78043017
WJets_MG_HT-1200To2500	WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1.60809	6872441	6872441
WJets_MG_HT-200To400	WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	435.237	38984322	38984322
WJets_MG_HT-2500ToInf	WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	0.0389136	2637821	2637821
WJets_MG_HT-400To600	WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	59.1811	7759701	7759701
WJets_MG_HT-600To800	WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	14.5805	18687480	18687480
WJets_MG_HT-70To100	WJetsToLNu_HT-70To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1637.1	10020533	10020533
WJets_MG_HT-800To1200	WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	6.65621	7830536	7830536
WWTo2L2Nu_DS	WWTo2L2Nu_DoubleScattering_13TeV-pythia8	0.1703	999367	999367
WWTo2L2Nu_powheg	WWTo2L2Nu_13TeV-powheg	12.178	1999000	1999000
WWToLNuQQ_powheg	WWToLNuQQ_13TeV-powheg	49.997	8654600	8654600
WWW	WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.2086	240000	210538
WWZ	WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.1651	250000	221468
WW_pythia	WW_TuneCUETP8M1_13TeV-pythia8	118.7	7982180	7982180
WZTo1L1Nu2Q_amcatnlo	WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8	10.73	24311445	14109151
WZTo1L3Nu_amcatnlo	WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8	3.054	1703772	942046
WZTo2L2Q_amcatnlo	WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	5.606	26517272	15879472
WZTo3LNu_powheg	WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8	4.42965	19993200	19993200
WZZ	WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.05565	246800	216366
WZ_pythia	WZ_TuneCUETP8M1_13TeV-pythia8	47.13	3997571	3997571
WpWp_EWK	WpWpJJ_EWK_TuneCUETP8M1_13TeV-madgraph-pythia8	0.02695	150000	150000
WpWp_QCD	WpWpJJ_QCD_TuneCUETP8M1_13TeV-madgraph-pythia8	0.02612	146436	146436
ZGTo2LG	ZGTo2LG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	117.864	16679840	11411568
ZZTo2L2Nu_powheg	ZZTo2L2Nu_13TeV_powheg_pythia8_ext1	0.5644	47678932	47678932
ZZTo2L2Q_amcatnlo	ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	3.222	15462693	9762305
ZZTo4L_powheg	ZZTo4L_13TeV_powheg_pythia8_ext1	1.256	96451124	96451124
ZZZ	ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.01398	249237	213197
ZZ_pythia	ZZ_TuneCUETP8M1_13TeV-pythia8	16.523	1988098	1988098
ggHToZZTo4L	GluGluHToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8	0.01212	999800	999800
ggZZTo2e2mu	GluGluToContinToZZTo2e2mu_13TeV_MCFM701_pythia8	0.005423	1469600	1469600
ggZZTo2e2tau	GluGluToContinToZZTo2e2tau_13TeV_MCFM701_pythia8	0.005423	500000	500000
ggZZTo2mu2tau	GluGluToContinToZZTo2mu2tau_13TeV_MCFM701_pythia8	0.005423	499800	499800
ggZZTo4e	GluGluToContinToZZTo4e_13TeV_MCFM701_pythia8	0.002703	978600	978600
ggZZTo4mu	GluGluToContinToZZTo4mu_13TeV_MCFM701_pythia8	0.002703	995200	995200
ggZZTo4tau	GluGluToContinToZZTo4tau_13TeV_MCFM701_pythia8	0.002703	495800	495800
ttHToNonbb	ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8	0.2151	9965577	9757039
ttWToLNu	TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8	0.2043	5280565	2716249
ttWToQQ	TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8	0.4062	833298	430310
ttZ	ttZJets_13TeV_madgraphMLM-pythia8	0.5407	9883364	9883364
ttZToLLNuNu	TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.2529	13764447	6420825
ttZToQQ	TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.5297	749400	351164
